dataset,condition,seed,corruption,severity,clean_bacc,corrupted_bacc,corrupted_error,BE,rBE,rBE_valid,rBE_small_denominator,alexnet_error,rBE_denominator
blood,pretrained,0,saturate,1,0.9899915047646126,0.991154014829124,0.00884598517087598,2.8244361147934343,5.375216102954685,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,0,saturate,2,0.9899915047646126,0.9849112634354511,0.015088736564548899,2.8244361147934343,5.375216102954685,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,0,saturate,3,0.9899915047646126,0.912115427559336,0.08788457244066405,2.8244361147934343,5.375216102954685,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,0,saturate,4,0.9899915047646126,0.8528753100145525,0.14712468998544748,2.8244361147934343,5.375216102954685,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,0,saturate,5,0.9899915047646126,0.767695718020748,0.23230428197925201,2.8244361147934343,5.375216102954685,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,1,saturate,1,0.9867345502282888,0.9866997397299847,0.013300260270015296,2.0929760488417313,3.626879443057131,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,1,saturate,2,0.9867345502282888,0.9857844407418319,0.014215559258168087,2.0929760488417313,3.626879443057131,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,1,saturate,3,0.9867345502282888,0.9413071702541318,0.0586928297458682,2.0929760488417313,3.626879443057131,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,1,saturate,4,0.9867345502282888,0.8848073892406099,0.11519261075939013,2.0929760488417313,3.626879443057131,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,1,saturate,5,0.9867345502282888,0.8373743133156563,0.16262568668434374,2.0929760488417313,3.626879443057131,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,2,saturate,1,0.9911905785219126,0.9924345778878834,0.007565422112116638,1.9189175980564965,3.5294947580091782,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,2,saturate,2,0.9911905785219126,0.9900531396793932,0.009946860320606765,1.9189175980564965,3.5294947580091782,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,2,saturate,3,0.9911905785219126,0.9695570440683787,0.030442955931621274,1.9189175980564965,3.5294947580091782,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,2,saturate,4,0.9911905785219126,0.9210026108016314,0.07899738919836863,1.9189175980564965,3.5294947580091782,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,2,saturate,5,0.9911905785219126,0.7931993031469327,0.20680069685306735,1.9189175980564965,3.5294947580091782,True,True,0.03478558170020538,0.01641629960593869
blood,pretrained,3,saturate,1,0.9910253517357612,0.990273733138983,0.009726266861016963,2.0678759204978467,3.835067586811781,True,True,0.03478558170020538,0.01641629960593869
